wikidata_id,name,primary_class,sitelinks,stop_eligible,wiki_extract,meters_away
Q338889,Palace of the Shirvanshahs,building,49,true,"The Palace of the Shirvanshahs (Azerbaijani: Şirvanşahlar Sarayı, Persian: کاخ شروان‌شاهان) is a 15th-century palace built by the Shirvanshahs and described by UNESCO as ""one of the pearls of Azerbaijan's architecture"". It is located in the Inner City of Baku, Azerbaijan and, together with the Maiden Tower, forms an ensemble of historic monuments inscribed under the UNESCO World Heritage List of Historical Monuments. The complex contains the main building of the palace, Divanhane, the burial-vaults, the shah's mosque with a minaret, Seyid Yahya Bakuvi's mausoleum (the so-called ""mausoleum of the dervish""), south of the palace, a portal in the east, Murad's gate, a reservoir and the remnants of a bath house. Earlier, there was an ancient mosque, next to the mausoleum. There is still ruins of the bath to the west of the tomb.
In the past, the palace was surrounded by a wall with towers and, thus, served as the inner stronghold of the Baku fortress. Despite the fact that at the present time no traces of this wall have survived on the surface, as late as the 1920s, the remains of apparently the foundations of the tower and the part of the wall connected with it could be distinguished on the north-eastern side of the palace.
There are no inscriptions that survive on the palace itself. Therefore, the time of its construction is determined by the dates in the inscriptions on the architectural monuments, which refer to the complex of the palace. Such two inscriptions were completely preserved only on the tomb and minaret of the Shah's mosque. There is the name of the ruler who ordered the establishment of these buildings in both inscriptions is the – Shirvan Khalil As time of construction – was marked on the tomb, 845 on the minaret of the Shah's mosque.
The burial vault, the palace and the mosque are built of the same material, the grating and masonry of the stone are the same.
The complex originally occupied a larger area and included rooms designated for court servants and various service functions.
The main buildings of the ensemble were built at different times. Despite this fact, these buildings are linked by unity of scale, by rhythm and proportionality of the basic architectural forms – cubic volumes of buildings, domes, portraits. The builders of the ensemble relied on the traditions of the Shirvan-Absheron architectural school.
In 1964, the palace complex was declared a museum-preserve and taken under the protection of the state. In 2000, this ensemble, along with the fortified walls of the historic part of the city and the Maiden Tower, was named a World Heritage Site.
The palace is depicted on the obverse of the Azerbaijani 10,000 manat banknote of 1994–2006 and of the 10 new manat banknote issued since 2006.",0
Q7126183,Palace Mosque,mosque,5,true,"The Palatial mosque in Baku (Persian: مسجد قصر; Azerbaijani: Saray məscidi), also known as the Palace Mosque (Persian: مسجد کاخ; Azerbaijani: Şah Məscidi; Arabic: مسجد شاه (باكو)), and Shirvanshahs Palace Mosque, is a mosque, located inside the Palace of the Shirvanshahs complex, in the Old City of Baku, Azerbaijan. The mosque was built in 845 AH (1441/1442 CE) by the Iranian Shirvanshahs.
The Palatial mosque in Baku forms part of the UNESCO World Heritage-listed Palace of the Shirvanshahs.",12.50773619
Q12841258,Keygubad Mosque,mosque,14,true,"Keyqubad məscidi — Şirvanşahlar saray kompleksinin yuxarı həyətində, Şirvanşahların saray binasının arxasında, Seyid Yəhya Bakuvi türbəsinin qarşısında yerləşən məscid. Məscid sifarişçisi olan Şirvanşah I Keyqubadın (1317–1348) adı ilə adlandırılmışdır.
Binanın dəqiq tikilmə tarixi və funksiyası mübahisə mövzusudur. Şamil Fətullayev-Fiqarov qeyd edir ki, Keyqubad məscidi daha qədim binanın bünövrələri üzərində qurulmuşdur. Məscid 1918-ci il hadisələri zamanı ermənilər tərəfindən yandırılaraq məhv edilmişdir.
Məscid düzbucaqlı ibadət zalından və onun önündəki kiçik dəhlizdən ibarətdir. Zalın mərkəzində gümbəzi saxlayan dörd sütun olmuşdur. Məscidin düzbucaqlı planına vestibüllə birlikdə portal birləşirdi. Məqbərəyə girişlə yanaşı ibadətgah zalının cənub divarında mehrab yerləşirdi.",13.07662526
Q16414684,Shirvanshah's Palace Mausoleum,monument,11,true,"Shirvanshahs' Palace Mausoleum (Persian: آرامگاه کاخ شروان‌شاهان, Azerbaijani: Şirvanşahlar sarayı türbəsi) or Tomb of the Shirvanshahs' family (Persian: آرامگاه خاندان شروان‌شاهان, Azerbaijani: Şirvanşahların ailə türbəsi) is a historical monument of the 15th century. Located in Old City, it is a part of the Palace of the Shirvanshahs complex. The mausoleum is one of three buildings in the courtyard of the complex, along with the palace mosque and the palace bath house, all build by the Iranian Shirvanshahs.
The monument was also registered as a national architectural landmark by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132. The mausoleum also forms part of the UNESCO World Heritage-listed Palace of the Shirvanshahs.",17.36308789
Q31271606,Divankhana,monument,10,true,"The Divankhana is a rotunda pavilion built on a tall stylobate in the north-west of the Shirvanshahs Palace, located in the historic Old City of Baku, in Azerbaijan. In the fifteenth century, Shirvanshah was built by order of Farrukh Yasar. Several stories describe the Divan's operation. It is believed that it served as a court, a reception hall, a government council or a tomb.
The stylistic features and the incomplete embroidery work allow the Divankhana to end at the end of the fifteenth century when the Safavid armies took Baku. The origin of the original architectural structure of the building is associated with pre-Islamic funeral ceremonies.
The Divankhana forms part of the UNESCO World Heritage-listed Palace of the Shirvanshahs.",17.36308789
Q4273786,Mausoleum of Seyid Yahya Bakuvi,monument,10,true,"The Mausoleum of Seyid Yahya Bakuvi was built in approximately 1457–1458, in the Old City of Baku, Azerbaijan. The mausoleum is located in the centre of the middle yard of the Palace of the Shirvanshahs. Among local people it is known as the mausoleum of “dervish” and was named after the philosopher and thinker Seyid Yahya Bakuvi who is buried in it.
The Mausoleum of Seyid Yahya Bakuvi forms part of the UNESCO World Heritage-listed Palace of the Shirvanshahs.",17.96286474
Q1521003,Palatial mosque in Baku,mosque,19,true,"The Palatial mosque in Baku (Persian: مسجد قصر; Azerbaijani: Saray məscidi), also known as the Palace Mosque (Persian: مسجد کاخ; Azerbaijani: Şah Məscidi; Arabic: مسجد شاه (باكو)), and Shirvanshahs Palace Mosque, is a mosque, located inside the Palace of the Shirvanshahs complex, in the Old City of Baku, Azerbaijan. The mosque was built in 845 AH (1441/1442 CE) by the Iranian Shirvanshahs.
The Palatial mosque in Baku forms part of the UNESCO World Heritage-listed Palace of the Shirvanshahs.",25.20141146
Q81913783,Old City Museum Center,museum,4,true,"Old City Museum Center or Icherisheher Museum Center (Azerbaijani: İçərişəhər Muzey Mərkəzi) is a museum in Azerbaijan. The Museum Center is a part of the State Department of the Historical and Architectural Reserve of Old City. The museum explores the architecture, life and culture of the ancient Shirvanshahs' Palace, Maiden Tower, ancient mosques, baths (Beyler Mosque, Siratagly religious-architectural complex), Baku Khans' Palace, and the Gala village. The Center collects, preserves and propagates material about the cultural monuments of the period, and holds international conferences, symposiums, themed parties, theatrical museum events at the Monuments Complex.
The fund of the Old City Museum Center includes photo negatives, applied arts, numismatics, rare books, documents, photos, graphics and archeology examples.",61.68976147
Q12848542,Chin Mosque,mosque,16,true,"The Chin Mosque (Azerbaijani: Çin məscidi; Persian: مسجد جن; Arabic: مسجد تشين), also known as the Gazi Fezlullah bin Osman Mosque, is a historical former Iranian mosque, located on Kichik Gala street, near the Palace of the Shirvanshahs, in the Old City of Baku, in Azerbaijan. Completed in the 14th century, the building is registered as a national architectural monument by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132.
No longer operating as a mosque, the building was repurposed in 2012 as a numismatic museum, part of the National Museum of History of Azerbaijan.",71.4290324
Q2559058,Baku Museum of Miniature Books,museum,16,true,"Бакинский музей миниатюрной книги — частный музей миниатюрных книжных изданий. Расположен в центре Баку, в районе Ичери-шехер на Замковой улице. С 2014 по 2016 годы музей был внесён в Книгу рекордов Гиннесса как самое большое собрание миниатюрных книг в мире. Музей работает ежедневно с 11:00 до 17:00, кроме понедельника и четверга. Вход бесплатный.",77.20876586
Q16415094,Jinn Mosque,mosque,13,true,"The Jinn Mosque (Azerbaijani: Cin məscidi, Persian: مسجد جن) is a former mosque, located on Gala turn, in the Palace of the Shirvanshahs in the Old City of Baku, in Azerbaijan.
The 14th century former mosque built by the Iranian Shirvanshahs was registered as a national architectural monument by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132. The Jin Mosque forms part of the UNESCO World Heritage-listed Palace of the Shirvanshahs.",77.20907599
Q30119475,House-Museum of Tahir Salahov,museum,10,true,"Tahir Salahov's house-museum – Memorial museum of Azerbaijani artist, Hero of Socialist Labor, USSR and Azerbaijan State Prize laureate, People's Artist of the USSR, Professor Tahir Salahov.
The museum is located in Ilyas Afandiyev Street, close to ""Icherisheher"" State Historical-Architectural Reserve.",94.37338514
Q12840111,Hajji Bani mosque,mosque,14,true,"Hacı Bani məscidi — XVI əsrə aid İçərişəhərdə yerləşən tarix-memarlıq abidəsi.
Məscid, Azərbaycan Respublikası Nazirlər Kabinetinin 2 avqust 2001-ci ildə verdiyi 132 nömrəli qərar ilə ölkə əhəmiyyətli daşınmaz tarix və mədəniyyət abidələrinin siyahısına salınıb.
Sovet işğalından sonra məsciddə ibadət dayandırılıb. Hazırda yaşayış evi kimi istifadə olunur.",95.49508276
Q12838048,Beyler Mosque,mosque,16,true,"The Beyler Mosque is a former Shia Islam mosque and historic architectural monument which is located in the Old City of Baku, opposite the “Murad” Gate of the Shirvanshah Palace Complex, in Azerbaijan. 
According to the order of the Cabinet of Ministers of Azerbaijan on historical and cultural monuments, the Beyler Mosque has been included to the list of historical and cultural monument of national importance. 
Restored and repurposed, the former mosque has housed the Museum of Sacred Relics since 2016.",96.47323196
Q106169267,Museum of Sacred Relics,museum,6,true,"Музей Священных Реликвий (азерб. Müqəddəs Əmanətlər Muzeyi) — музей, расположенный в мечети Бейляр в Ичеришехер. В музее, начавшем действовать в мечети после реставрации и консервации, демонстрируются образцы Корана, являющегося священной реликвией исламской религии, старинные книги различных периодов, а также образцы прикладного искусства, связанные с богослужением.",97.9875642
Q21012753,Hajji Heybat mosque,mosque,14,true,"The Haji Heybat mosque (Azerbaijani: Hacı Heybət məscidi) is a former mosque, located on Kichik Gala street, in the Old City of Baku, in Azerbaijan.
The mosque was built in 1206 AH (1791/1792 CE), designed by architect Hаji Hеybat Amir Ali оghlu.",123.37963993
Q12847654,Khidir Mosque,mosque,14,true,"The Khidir Mosque (Azerbaijani: Xıdır Məscidi, Persian: مسجد خدیر) is a former mosque, located on Muslim Magomayev street, in the Old City of Baku, in Azerbaijan. Completed in the 14th century by the Iranian Shirvanshahs, the building was registered as a national architectural monument by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132.",132.09521638
Q2427287,Icheri Sheher,building,18,false,"Icherisheher (Azerbaijani: İçәrişәhәr, Inner City), formerly known as Baku Soviet (Azerbaijani: Bakı Soveti) is a subway station on Red Line (Line 1) of the Baku Metro. It was opened on 6 November 1967 as one of the first 5 stations in Baku. Regular traffic started from 25 November 1967. The station was called Baki Soveti until 2007.  In April 2007 station was renamed ""Icherisheher"" according to the resolution of Cabinet of Ministers of Azerbaijan. Icherisheher station is located nearby to Four Seasons Hotel Baku.",137.1704509
Q1535049,Muhammad Mosque,mosque,23,true,"The Muhammad Mosque or Siniggala Mosque is a former mosque, located in the Old City of Baku, Azerbaijan. The mosque was built in the 11th century.
It is the first building in Azerbaijan, which is related to Islam and dated for its architectural ligature.",139.87676706
Q12839813,Gileyli Mosque,mosque,12,true,"The Gileyli Mosque (Azerbaijani: Gileyli Məscidi, Persian: مسجد گیلیلی) or Jomard Garay Mosque (Azerbaijani: Comərd Gəray Məscidi, Persian: مسجد جومارد گرای) is a mosque, located on Mirza Mansur street in the Old City of Baku in Azerbaijan. Completed in 1309 by the Iranian Shirvanshahs, the building was registered as a national architectural monument by the Cabinet of Ministers of the Republic of Azerbaijan on August 2, 2001, No. 132.",150.75036025
